股價報酬率,應收款項週轉率,存貨週轉率,應付款項週轉率,不動產.廠房及設備週轉率,總資產週轉率,資產報酬率,權益報酬率,純益率,每股盈餘
0.054716981,7.119696985,5.565391157,4.423306771,20.90724499,2.136491707,9.917780029,18.05478825,4.639566254,5.844098876
0.84351145,8.991278871,5.454517051,4.280894337,15.39244807,1.596465114,7.242249118,11.49759815,4.531211361,3.816848091
0.04076087,4.52607623,3.89674213,3.189984388,26.65486793,1.089868319,4.56351116,8.840104135,4.150934569,20.92857047
0.252900232,4.20752411,3.408322994,3.037548094,22.14756614,1.031028408,1.594734309,3.044463108,1.488616494,5.701755614
0.161629435,3.893271685,4.233189725,2.384141523,3.251903717,0.861985818,8.017636723,13.58458662,9.218407703,3.37763938
-0.279069767,7.481888008,5.336836566,5.407133878,24.12438418,2.272213991,11.60317616,20.9219737,5.096826112,7.150483633
-0.194616977,9.213117303,5.032939104,4.739417556,15.21666041,1.634824552,6.707184152,10.31435514,4.097140369,3.788563168
-0.002610966,4.553676797,3.530991862,3.01645201,17.97624415,1.012231871,3.788477989,7.416420658,3.704497406,16.3424996
-0.255555556,5.019259665,5.269077895,2.996369645,60.92315666,1.55499814,1.95261175,4.962240115,1.197818606,1.011072333
-0.090497738,4.308828909,3.93369167,2.519902248,3.487067271,0.915489361,9.048165389,15.42983266,9.793444,3.65776665
0.148883375,7.147630498,4.69392613,4.913506483,25.01904168,2.086018215,9.705517645,18.33124486,4.637019083,6.613209825
-0.082262211,9.749493598,4.565200249,5.131182647,15.03670971,1.682355461,5.218025357,7.862626301,3.087575723,3.822280291
0.134816754,5.10470064,5.353064239,2.493900813,56.30826282,1.467890794,1.841954757,4.836384051,1.178689023,0.930379803
0.236318408,4.751562115,5.043107906,3.368317004,63.24860442,1.511099331,1.754206916,4.34648986,1.096258881,0.869353224
0.161691542,4.479837713,3.879829665,2.603062117,3.69250242,0.917213568,8.179825913,14.36547192,8.792846487,3.668123565
0.082073434,7.38,5.01,4.41,26.63,2.11,8.3,15.4,5.43,9.42
0.324929972,11.51,5.28,4.68,19.89,1.94,9.9,16.7,5.17,6.88
0.528258362,5.2,5.88,3.45,49.34,1.63,11.5,23.9,2.18,2.01
0.565392354,5.58,3.95,3.52,17.33,1.1,7.6,14.3,6.43,35.766
0.047109208,3.97,3.79,2.28,3.11,0.86,3.6,10.1,9.26,4.4
-0.025735294,4.28,5.54,4.28,19.42,2.11,9.3,15,4.78,5.79
0.082644628,4.53,4.81,4.53,13.21,1.51,6.6,10,4.38,3.64
0.567625133,2.44,5.73,2.44,50.88,1.38,10.1,18.6,-2.11,-1.62
0.182441701,3.75,4.19,3.75,40.97,1.34,5.6,11.1,4.11,25.85
0.897755611,2.54,4.92,2.54,3.19,0.83,-2.9,-7.9,10.19,3.68
